"Microrregiao","2000","2022","Mudanca_Absoluta","Mudanca_Relativa"
"GUANHAES",0.975656877897991,0.973891924711597,-0.00176495318639391,-0.180898964213364
"FORMIGA",0.997503121098627,1,0.00249687890137329,0.250312891113893
"DIAMANTINA",0.989477786438036,0.992175273865415,0.00269748742737885,0.272617279978501
"PASSOS_PIUMHI",0.992865636147443,0.997926386728875,0.00506075058143152,0.509711525626815
"ITABIRITO",0.96875,0.975675675675676,0.0069256756756757,0.714908456843943
"ARAXA",0.976102941176471,0.984521575984991,0.00841863480852001,0.862474074545176
"ITAOBIM",0.983847283406755,0.994082840236686,0.0102355568299316,1.04036032853484
"ITAUNA",0.988512696493349,0.9991961414791,0.0106834449857501,1.08075951109668
"LAVRAS",0.989068825910931,1,0.0109311740890689,1.10519852640197
"CONSELHEIRO_LAFAIETE_CONGONHAS",0.986145069274654,0.998003327787022,0.011858258512368,1.20248621443599
"ALMENARA",0.84942638623327,0.862533692722372,0.0131073064891024,1.54307738746214
"MANTENA",0.980555555555556,0.993932038834951,0.0133764832793959,1.36417393217635
"SANTOS_DUMONT",0.984340044742729,0.998130841121495,0.013790796378766,1.40101954120646
"JOAO_MONLEVADE",0.98370761778952,0.998257839721254,0.0145502219317344,1.47912059118034
"BARBACENA",0.977363896848138,0.992630124366651,0.0152662275185138,1.56197988975706
"VICOSA",0.983689538807649,0.999275362318841,0.0155858235111915,1.58442505448248
"SAO_LOURENCO_CAXAMBU",0.984097535117943,1,0.0159024648820567,1.61594398060867
"FRUTAL_ITURAMA",0.982251802551303,0.998924731182796,0.0166729286314923,1.69741899054662
"PONTE_NOVA",0.98060098896919,0.99740932642487,0.0168083374556807,1.71408530531359
"ITUIUTABA",0.978625954198473,0.995712754555198,0.0170868003567249,1.74599910041417
"JANUARIA",0.9765528589058,0.995693367786391,0.0191405088805909,1.96000745950786
"ALFENAS_MACHADO",0.975941189574515,0.995376486129458,0.0194352965549429,1.99144136578723
"PADRE_PARAISO",0.957446808510638,0.978930307941653,0.0214834994310148,2.24383216279488
"MINAS_NOVAS_TURMALINA",0.971311475409836,0.993145990404387,0.0218345149945505,2.24794162813093
"POUSO_ALEGRE",0.962509563886764,0.985084306095979,0.0225747422092157,2.34540445687162
"CARATINGA",0.973999315771468,0.997074801504388,0.0230754857329201,2.36914804346067
"RESPLENDOR",0.971955128205128,0.99540018399264,0.0234450557875121,2.41215413213645
"SAO_SEBASTIAO_DO_PARAISO",0.976402726796015,1,0.0235972732039853,2.41675617615467
"AGUAS_FORMOSAS",0.967490247074122,0.993421052631579,0.0259308055574567,2.68021363893605
"SAO_JOAO_NEPOMUCENO_BICAS",0.96551724137931,0.991696322657177,0.0261790812778664,2.71140484663616
"BELO_HORIZONTE_NOVA_LIMA_CAETE",0.972004394438762,0.998491441833478,0.0264870473947164,2.72499255623326
"PATROCINIO_MONTE_CARMELO",0.965428276573787,0.992120343839542,0.0266920672657541,2.76479029187769
"ITAJUBA",0.972692706533011,0.999493414387031,0.0268007078540207,2.7553108678636
"BOM_DESPACHO",0.968253968253968,0.998309382924768,0.0300554146707993,3.10408381026288
"VARGINHA",0.96707682075158,0.997498957899125,0.030422137147545,3.14578288867496
"JANAUBA_MONTE_AZUL",0.967397414277684,0.999688667496887,0.0322912532192026,3.33795116077637
"PEDRA_AZUL",0.967532467532468,1,0.0324675324675324,3.35570469798657
"LEOPOLDINA_CATAGUASES",0.960449438202247,0.998019801980198,0.0375703637779509,3.91174821740481
"GUAXUPE",0.959440559440559,0.998242530755712,0.0388019713151524,4.04422878867842
"UNAI",0.954924242424242,0.994231561598682,0.0393073191744391,4.11627618486788
"ALEM_PARAIBA",0.960648148148148,1,0.0393518518518519,4.09638554216868
"PECANHA",0.959247648902821,1,0.0407523510971787,4.24836601307189
"DIVINOPOLIS",0.956348547717842,0.997134670487106,0.0407861227692637,4.26477594038206
"CONTAGEM",0.95427375971309,0.997107231920199,0.0428334722071092,4.48859373645435
"PATOS_DE_MINAS",0.954122340425532,0.997450605481198,0.0433282650556663,4.541164504789
"POCOS_DE_CALDAS",0.953776041666667,0.997198879551821,0.0434228378851541,4.55272894140592
"UBERLANDIA_ARAGUARI",0.954314720812183,0.998618402873722,0.0443036820615393,4.64246030112939
