"ordem","MICRO_","AI","cluster","cluster_nome","h_1","h_2","h_3","h_4"
1,"ARACUAI",-83.84,4,"Baixa adequação",1,1,1,1
2,"PADRE_PARAISO",-75.69,4,"Baixa adequação",1,1,1,1
3,"SALINAS_TAIOBEIRAS",-72.98,4,"Baixa adequação",1,1,1,1
4,"AGUAS_FORMOSAS",-40.01,4,"Baixa adequação",1,1,1,1
5,"ITAOBIM",-39.93,4,"Baixa adequação",1,1,1,1
6,"ALMENARA",-31.28,4,"Baixa adequação",1,1,1,1
7,"PEDRA_AZUL",-27.47,4,"Baixa adequação",1,1,1,1
8,"BRASILIA_DE_MINAS_SAO_FRANCISCO",-23.89,4,"Baixa adequação",1,1,1,1
9,"JANUARIA",3.71,4,"Baixa adequação",1,1,1,1
10,"DIAMANTINA",5.04,4,"Baixa adequação",1,1,1,1
11,"PECANHA",5.26,4,"Baixa adequação",1,1,1,1
12,"FRANCISCO_SA",5.72,4,"Baixa adequação",1,1,1,1
13,"MANTENA",8.03,4,"Baixa adequação",1,1,1,1
14,"RESPLENDOR",9.01,4,"Baixa adequação",1,1,1,1
15,"UNAI",13.17,4,"Baixa adequação",1,1,1,1
16,"MURIAE",13.25,4,"Baixa adequação",1,1,1,1
17,"TEOFILO_OTONI_MALACACHETA_ITAMBACURI",18.89,4,"Baixa adequação",1,1,1,1
18,"MINAS_NOVAS_TURMALINA",24.08,3,"Média-baixa adequação",1,1,1,0
19,"JANAUBA_MONTE_AZUL",27.06,3,"Média-baixa adequação",1,1,1,0
20,"GOVERNADOR_VALADARES",28.38,3,"Média-baixa adequação",1,1,1,0
21,"PIRAPORA",33.62,3,"Média-baixa adequação",1,1,1,0
22,"CARANGOLA",35.44,3,"Média-baixa adequação",1,1,1,0
23,"CARATINGA",38.7,3,"Média-baixa adequação",1,1,1,0
24,"FRUTAL_ITURAMA",39.14,3,"Média-baixa adequação",1,1,1,0
25,"FORMIGA",39.92,3,"Média-baixa adequação",1,1,1,0
26,"UBA",44.24,3,"Média-baixa adequação",1,1,1,0
27,"CURVELO",44.49,3,"Média-baixa adequação",1,1,1,0
28,"GUANHAES",48.59,3,"Média-baixa adequação",1,1,1,0
29,"SAO_SEBASTIAO_DO_PARAISO",50,3,"Média-baixa adequação",1,1,1,0
30,"CORACAO_DE_JESUS",50,3,"Média-baixa adequação",1,1,1,0
31,"NANUQUE",50,3,"Média-baixa adequação",1,1,1,0
32,"JOAO_MONLEVADE",50.21,2,"Média-alta adequação",1,1,0,0
33,"SAO_JOAO_NEPOMUCENO_BICAS",54.52,2,"Média-alta adequação",1,1,0,0
34,"POCOS_DE_CALDAS",55.8,2,"Média-alta adequação",1,1,0,0
35,"PONTE_NOVA",56.14,2,"Média-alta adequação",1,1,0,0
36,"PATOS_DE_MINAS",57.16,2,"Média-alta adequação",1,1,0,0
37,"PATROCINIO_MONTE_CARMELO",57.61,2,"Média-alta adequação",1,1,0,0
38,"VARGINHA",59.11,2,"Média-alta adequação",1,1,0,0
39,"SETE_LAGOAS",56.86,2,"Média-alta adequação",1,1,0,0
40,"POUSO_ALEGRE",60.07,2,"Média-alta adequação",1,1,0,0
41,"PASSOS_PIUMHI",60.88,2,"Média-alta adequação",1,1,0,0
42,"MANHUACU",60.95,2,"Média-alta adequação",1,1,0,0
43,"TRES_CORACOES",61.74,2,"Média-alta adequação",1,1,0,0
44,"ALEM_PARAIBA",63.74,2,"Média-alta adequação",1,1,0,0
45,"VICOSA",65.77,2,"Média-alta adequação",1,1,0,0
46,"ITAJUBA",65.86,2,"Média-alta adequação",1,1,0,0
47,"CONSELHEIRO_LAFAIETE_CONGONHAS",69.77,2,"Média-alta adequação",1,1,0,0
48,"GUAXUPE",71.45,1,"Alta adequação",1,0,0,0
49,"SANTO_ANTONIO_DO_AMPARO",71.95,1,"Alta adequação",1,0,0,0
50,"SAO_JOAO_DEL_REI",72.95,1,"Alta adequação",1,0,0,0
51,"ARAXA",73.83,1,"Alta adequação",1,0,0,0
52,"SAO_LOURENCO_CAXAMBU",75.64,1,"Alta adequação",1,0,0,0
53,"PARA_DE_MINAS",76.61,1,"Alta adequação",1,0,0,0
54,"ALFENAS_MACHADO",77.17,1,"Alta adequação",1,0,0,0
55,"ITABIRA",77.83,1,"Alta adequação",1,0,0,0
56,"ITABIRITO",78.04,1,"Alta adequação",1,0,0,0
57,"ITUIUTABA",78.17,1,"Alta adequação",1,0,0,0
58,"MONTES_CLAROS_BOCAIUVA",78.19,1,"Alta adequação",1,0,0,0
59,"LAVRAS",78.3,1,"Alta adequação",1,0,0,0
60,"VESPASIANO",79.86,1,"Alta adequação",1,0,0,0
61,"BETIM",82.15,1,"Alta adequação",1,0,0,0
62,"BARBACENA",82.79,1,"Alta adequação",1,0,0,0
63,"DIVINOPOLIS",84.47,1,"Alta adequação",1,0,0,0
64,"UBERABA",86.83,1,"Alta adequação",1,0,0,0
